9|600770
9|584872
9|247563
15|349388
15|142902
15|211628
15|316249
19|563776
19|368829
51|600770
51|584872
51|247563
53|178912
60|85012
60|223467
60|188491
60|365536
66|523223
66|393059
66|245730
66|31803
66|178912
78|531386
78|425562
78|429826
78|283375
84|257158
84|342497
87|123601
87|17863
87|174146
87|533243
87|498243
87|173264
87|502542
87|269133
87|370875
90|600770
90|584872
90|247563
90|240866
90|433099
93|211566
95|600770
95|247563
95|313039
110|393059
110|57691
110|178912
117|393059
117|178912
128|85012
130|211566
133|393059
133|17863
133|174146
133|378550
133|269133
133|53250
133|195244
133|370875
133|532850
139|223467
150|393059
150|174146
150|88858
150|528438
155|393059
155|582591
155|174146
155|33053
155|178912
