0	540429	70
0	554898	90
0	470288	70
0	163101	70
1	607946	90
1	608376	90
1	609785	90
1	612520	90
2	435836	0
2	475026	0
2	513664	0
2	514926	0
3	569455	90
3	614243	90
3	398019	60
3	62106	91
4	597327	80
4	131832	40
4	540013	60
4	31744	60
5	232303	30
5	286037	90
5	310639	50
5	311811	90
6	255923	0
6	568090	0
6	618422	0
6	33551	50
7	222533	50
7	451800	30
7	478554	30
7	509510	0
8	489371	90
8	503258	90
8	504528	90
8	532453	90
9	504528	90
9	509188	80
9	517337	80
9	523223	80
10	354105	80
10	386899	90
10	390473	80
10	402723	90
11	523835	50
11	2384	50
11	365958	50
11	257310	50
12	406621	90
12	524453	90
12	77729	90
12	346476	90
13	521255	90
13	532569	90
13	539126	90
13	541988	90
14	320631	0
14	429897	0
14	430276	0
14	539869	0
15	107666	0
15	460326	90
15	507010	90
15	283179	90
16	61720	90
16	182140	90
16	78051	90
16	189820	90
17	558154	90
17	567378	90
17	600770	80
17	131263	90
18	333410	70
18	91364	70
18	5172	90
18	431048	90
19	502177	90
19	513664	80
19	514730	90
19	523223	80
20	405897	90
20	440749	90
20	452599	90
20	457354	90
21	470288	90
21	525825	90
21	163813	70
21	367130	90
22	218271	90
22	264265	90
22	328326	90
22	434413	90
23	92538	90
23	478757	90
23	556366	90
23	477578	90
24	592747	70
24	192632	90
24	311998	70
24	366639	90
25	538823	80
25	540934	90
25	553257	90
25	556298	80
26	541171	90
26	567726	90
26	569179	90
26	596241	90
27	280997	50
27	26862	0
27	40994	0
27	612847	0
28	503258	90
28	609785	90
28	239251	50
28	535309	50
29	191936	50
29	350355	50
29	461783	50
29	92088	90
30	582591	80
30	591461	80
30	613219	90
30	199467	100
31	136867	90
31	340873	70
31	141597	70
31	569396	90
32	186216	30
32	268443	30
32	301986	0
32	309917	50
33	347177	70
33	118689	70
33	146931	70
33	53487	70
34	461319	0
34	487413	0
34	416005	0
34	265809	0
35	486428	90
35	208781	90
35	241086	70
35	151356	90
36	355789	89
36	596702	89
36	427711	0
36	287673	0
37	473704	90
37	47401	90
37	567990	90
37	207903	50
38	436056	90
38	459622	90
38	490684	90
38	492607	90
39	301109	50
39	328454	30
39	334079	90
39	372099	30
40	324656	30
40	50842	30
40	107585	0
40	362743	30
41	493765	0
41	599442	0
41	62106	0
41	587372	0
42	355132	90
42	247796	90
42	517703	90
42	488024	90
43	272262	70
43	368693	70
43	94586	70
43	243499	0
