"row ID","Support","Confidence","Lift","Consequent","implies","Items"
"rule0",0.5081240768094535,0.8716216216216217,1.0394970719398202,"c_gill-spacing","<---","[s_stalk-surface-above-ring o_ring-number]"
"rule1",0.5081240768094535,0.6386138613861386,1.0023375212328034,"s_stalk-surface-above-ring","<---","[o_ring-number c_gill-spacing]"
"rule2",0.5081240768094535,0.9330922242314647,1.0123452496870218,"o_ring-number","<---","[s_stalk-surface-above-ring c_gill-spacing]"
"rule3",0.5115706548498277,0.8419773095623986,1.3215269827830227,"s_stalk-surface-above-ring","<---","[s_stalk-surface-below-ring]"
"rule4",0.5115706548498277,0.8029366306027821,1.321526982783023,"s_stalk-surface-below-ring","<---","[s_stalk-surface-above-ring]"
"rule5",0.5150172328902018,0.8476499189627228,1.0109083883812626,"c_gill-spacing","<---","[s_stalk-surface-below-ring]"
"rule6",0.5150172328902018,0.6142102172636524,1.0109083883812626,"s_stalk-surface-below-ring","<---","[c_gill-spacing]"
"rule7",0.517971442639094,0.8456591639871381,1.0085342114256475,"c_gill-spacing","<---","[o_ring-number b_gill-size]"
"rule8",0.517971442639094,0.650990099009901,0.9423812481034277,"b_gill-size","<---","[o_ring-number c_gill-spacing]"
"rule9",0.517971442639094,0.9236172080772608,1.002065464532541,"o_ring-number","<---","[c_gill-spacing b_gill-size]"
"rule10",0.517971442639094,0.5773874862788144,0.987930905334686,"f_bruises","<---","[f_gill-attachment o_ring-number w_veil-color]"
"rule11",0.517971442639094,1.0,1.026535253980288,"f_gill-attachment","<---","[f_bruises o_ring-number w_veil-color]"
"rule12",0.517971442639094,0.9981024667931689,1.0232943513664443,"w_veil-color","<---","[f_gill-attachment f_bruises o_ring-number]"
"rule13",0.517971442639094,0.9289183222958056,1.007816833644648,"o_ring-number","<---","[f_gill-attachment f_bruises w_veil-color]"
"rule14",0.5189561792220581,0.5778508771929824,0.9887237839755244,"f_bruises","<---","[f_gill-attachment o_ring-number]"
"rule15",0.5189561792220581,0.9564428312159707,0.9818222846599124,"f_gill-attachment","<---","[f_bruises o_ring-number]"
"rule16",0.5189561792220581,0.9290436315557513,1.0079527861590443,"o_ring-number","<---","[f_gill-attachment f_bruises]"
"rule17",0.5209256523879862,1.0,1.026535253980288,"f_gill-attachment","<---","[s_stalk-surface-above-ring c_gill-spacing w_veil-color]"
"rule18",0.5209256523879862,0.8491171749598715,1.012658239778919,"c_gill-spacing","<---","[f_gill-attachment s_stalk-surface-above-ring w_veil-color]"
"rule19",0.5209256523879862,0.6410178733717055,1.0061107425177231,"s_stalk-surface-above-ring","<---","[f_gill-attachment c_gill-spacing w_veil-color]"
"rule20",0.5209256523879862,1.0,1.0252397778899545,"w_veil-color","<---","[f_gill-attachment s_stalk-surface-above-ring c_gill-spacing]"
"rule21",0.5297882816346627,1.0,1.026535253980288,"f_gill-attachment","<---","[o_ring-number s_stalk-surface-below-ring w_veil-color]"
"rule22",0.5297882816346627,0.5905598243688255,0.971982984840425,"s_stalk-surface-below-ring","<---","[f_gill-attachment o_ring-number w_veil-color]"
"rule23",0.5297882816346627,1.0,1.0252397778899545,"w_veil-color","<---","[f_gill-attachment o_ring-number s_stalk-surface-below-ring]"
"rule24",0.5297882816346627,0.9072512647554807,0.9843094651273404,"o_ring-number","<---","[f_gill-attachment s_stalk-surface-below-ring w_veil-color]"
"rule25",0.5349581486952241,0.9958753437213567,1.0223011488997096,"f_gill-attachment","<---","[c_gill-spacing b_gill-size w_veil-color]"
"rule26",0.5349581486952241,0.8045168456127361,0.959467829383128,"c_gill-spacing","<---","[f_gill-attachment b_gill-size w_veil-color]"
