0	550452
0	323933
0	159248
0	554099
0	70896
0	518385
1	614243
1	616649
1	617646
1	620594
1	622325
1	623778
2	521716
2	531386
2	534002
2	602548
2	297989
2	532569
3	266898
3	577089
3	418340
3	489371
3	541471
3	230010
4	160409
4	309265
4	566574
4	94767
4	617491
4	561044
5	55372
5	568050
5	614805
5	374622
5	390355
5	600781
6	34428
6	370386
6	614925
6	248723
6	252962
6	504528
7	591369
7	28621
7	40189
7	434891
7	80657
7	532790
8	532569
8	558154
8	569179
8	574204
8	622325
8	213829
9	531386
9	532569
9	592747
9	602602
9	614925
9	622325
10	453396
10	587636
10	591461
10	596241
10	612520
10	616649
11	533053
11	2273
11	117627
11	436796
11	613923
11	359283
12	275010
12	46030
12	29235
12	498179
12	556541
12	558814
13	546992
13	567726
13	583090
13	587636
13	616649
13	617646
14	543905
14	572538
14	28590
14	268594
14	308881
14	334831
15	281112
15	309256
15	496762
15	614925
15	165824
15	367313
16	550452
16	56437
16	13379
16	39046
16	405897
16	267723
17	25205
17	103410
17	624550
17	338242
17	25311
17	47310
18	359811
18	576535
18	260310
18	49509
18	206975
18	252459
19	539904
19	548098
19	592747
19	600770
19	608376
19	622325
20	489371
20	517526
20	538823
20	540934
20	600770
20	607946
21	116469
21	33730
21	100025
21	95970
21	267723
21	449769
22	559390
22	152442
22	182003
22	225679
22	41414
22	106447
23	540166
23	389637
23	44531
23	130559
23	173049
23	48550
24	459622
24	112126
24	614925
24	489371
24	85222
24	181089
25	563692
25	582591
25	600770
25	607946
25	274703
25	362307
26	614243
26	617646
26	622325
26	55629
26	363904
26	373402
27	169081
27	386683
27	224051
27	436056
27	473055
27	26226
28	75707
28	397543
28	298685
28	75410
28	567631
28	578903
29	184754
29	556366
29	238646
29	7876
29	302000
29	569396
30	267846
30	467178
30	444949
30	489457
30	529957
30	552786
31	123929
31	98718
31	195434
31	588686
31	604347
31	17497
32	358441
32	440694
32	577474
32	266281
32	371598
32	564115
33	75943
33	355155
33	564115
33	364683
33	437608
33	603145
34	1188
34	4132
34	30125
34	36422
34	421158
34	482854
35	529098
35	559371
35	237542
35	549463
35	381626
35	407756
36	571905
36	198370
36	347177
36	27598
36	551806
36	193586
37	169627
37	130254
37	141393
37	469645
37	84209
37	280641
38	504528
38	517718
38	532569
38	614243
38	614925
38	622325
39	614925
39	34525
39	540166
39	327744
39	9986
39	536930
40	328269
40	195544
40	186013
40	213529
40	257054
40	509660
41	498148
41	113311
41	571579
41	199025
41	375693
41	591163
42	134908
42	303711
42	3669
42	458099
42	82555
42	248920
43	309068
43	328957
43	376863
43	60117
43	409361
43	581975
